ID,书名,作者,时代（生卒年）,籍贯,写作时间,写作地点,版本,出版时间,四部,类,小类
24,古今合璧事类备要,谢维新,南宋,建安,宝祐丁巳,,文渊阁四库全书本,乾隆四十六年,子部,类书类,
25,仕学规范,张镃,1144-1207,吴县,淳熙丙申,,文渊阁四库全书本,乾隆四十一年,子部,杂家类,杂纂
26,晦庵先生朱文公文集,朱熹,1130-1200,婺源,1130-1200,,民国影印本,民国二十三年,集部,别集类,
27,新雕皇朝类苑,江少虞,南宋,常山,绍兴十五年,吉州,日本元和七年刻本,日本元和七年,子部,杂家类,杂纂
1,神农本草经赞,叶志诜,清,汉阳,清,,清道光刻本,道光三十年,子部,医家类,
14,东山草堂集,潘安礼,雍正年间,,乾隆四年,北京,清刻本,乾隆四年,集部,别集,
15,焦氏说楛,焦周,明,,万历癸巳,,明刻本,万历年间,子部,杂家类,
18,吹网录,叶廷琯,,吴县,咸丰九年,,清刻本,同治八年,子部,杂家类,
20,缘督庐日记抄,叶昌炽,1849—1917,长洲,同治庚午至宣统丁巳,,民国石印本,1933,史部,传记类,
21,宾退录,赵与旹,？-1231,安吉州归安县,嘉定十七年,,文渊阁四库全书本,乾隆四十五年,子部,杂家类,杂说
22,宝真斋法书赞,岳珂,1183-？,,南宋,,文渊阁四库全书本,乾隆四十九年,子部,艺术类,书画
23,方舆胜览,祝穆,南宋,建阳,嘉熙二年,,文渊阁四库全书本,乾隆四十三年,史部,地理类,总记
2,曹集考异,朱绪曾,清,上元,咸丰癸丑冬,,民国刻本,甲寅（民国三年）,集部,别集类,
3,龙龛手鉴,行均,辽,燕京,统和十五年,,民国影印本,民国二十三年,经部,小学类,字书
4,尚书大传,陈寿祺,清,福州,嘉庆十年,,影印上海涵芬楼藏左海文集本,民国二十三年,经部,书类,
5,恒山志,桂敬顺,清,泰兴,乾隆二十八年,,清刻本,嘉庆二十四年,史部,地理类,山川
6,日下旧闻,朱彝尊,1629-1709,秀水,康熙二十六年,,清六峰阁本,康熙二十七年,史部,地理类,都会郡县
8,千山志,周厚地,乾隆年间,蘋洲,乾隆丙午,,清抄本,清,史部,地理类,山川
9,钝翁前后类稿,汪琬,1624-1691,长洲,康熙十四年,,清康熙刻本,康熙乙卯,集部,别集,
11,治河前策后策,冯祚泰,,滁上,乾隆七年,,清抄本,清,史部,地理类,河渠
12,古今图书集成,陈梦雷,1650-1741,侯官,康熙四十五年,,清雍正铜活字本,雍正六年,子部,类书类,
13,月令粹编,秦嘉谟,嘉庆年间,江都,嘉庆壬申,,清刻本,嘉庆壬申,史部,时令类,